Id,SalePrice_pred
1461,119387.71
1462,146789.81
1463,167993.63
1464,180622.27
1465,194887.57
1466,170045.12
1467,176991.74
1468,158711.19
1469,209314.66
1470,113554.63
1471,180750.79
1472,97372.02
1473,89708.85
1474,141485.68
1475,109997.09
1476,353743.81
1477,247994.28
1478,320573.72
1479,306478.48
1480,445658.12
1481,307887.1
1482,216282.75
1483,175245.92
1484,162063.74
1485,201529.29
1486,200700.26
1487,319796.23
1488,235512.53
1489,186124.07
1490,248357.53
1491,201369.45
1492,93717.25
1493,209098.02
1494,301189.56
1495,284111.46
1496,236307.79
1497,175356.01
1498,155071.66
1499,156164.53
1500,146902.82
1501,189788.23
1502,146100.62
1503,267742.2
1504,241306.93
1505,223104.34
1506,183278.62
1507,248831.58
1508,190493.72
1509,160239.47
1510,139969.67
1511,143260.14
1512,179036.7
1513,165336.85
1514,149874.94
1515,194839.69
1516,163357.44
1517,166979.15
1518,123134.64
1519,213335.8
1520,122753.58
1521,121069.32
1522,193522.0
1523,97623.29
1524,120750.81
1525,111220.23
1526,99579.92
1527,97068.57
1528,144659.15
1529,150789.04
1530,213136.0
1531,126544.39
1532,106182.03
1533,153651.53
1534,127387.12
1535,154645.29
1536,96167.93
1537,41041.03
1538,161110.12
1539,210076.16
1540,135931.36
1541,130466.76
1542,147950.93
1543,179032.21
1544,96538.43
1545,131519.49
1546,141653.26
1547,139232.69
1548,147978.35
1549,120676.94
1550,140435.65
1551,117913.74
1552,150075.49
1553,156092.18
1554,122178.94
1555,156010.32
1556,83706.3
1557,92016.29
1558,95482.25
1559,90231.46
1560,143573.26
1561,113519.46
1562,127723.92
1563,119720.99
1564,139977.3
1565,147060.1
1566,247795.33
1567,78904.23
1568,227380.11
1569,111211.87
1570,146072.05
1571,96742.07
1572,143132.4
1573,240190.21
1574,124371.91
1575,240675.12
1576,233940.09
1577,180615.64
1578,140301.72
1579,131219.94
1580,192159.67
1581,160804.78
1582,135125.26
1583,272292.04
1584,227829.66
1585,145813.92
1586,47371.56
1587,115788.23
1588,165838.88
1589,108726.07
1590,131569.29
1591,88947.69
1592,117119.15
1593,137171.13
1594,142690.12
1595,118806.12
1596,225562.22
1597,191342.57
1598,219427.67
1599,204646.14
1600,178196.46
1601,42198.12
1602,121843.45
1603,84118.84
1604,294995.46
1605,242220.29
1606,153964.08
1607,162963.36
1608,211560.53
1609,179487.95
1610,150297.47
1611,131684.98
1612,191437.83
1613,162978.01
1614,150231.92
1615,85131.5
1616,69108.03
1617,81712.57
1618,118815.06
1619,154629.1
1620,158718.6
1621,131525.83
1622,141182.15
1623,262706.5
1624,206648.68
1625,111072.37
1626,174593.49
1627,181774.09
1628,286893.22
1629,178116.25
1630,321163.43
1631,218609.53
1632,228860.28
1633,189806.88
1634,185384.05
1635,174633.09
1636,149904.96
1637,189117.86
1638,204787.64
1639,182484.7
1640,248106.92
1641,178956.52
1642,259622.77
1643,225815.88
1644,230618.54
1645,211948.2
1646,160275.59
1647,162049.5
1648,124764.53
1649,129979.36
1650,122533.89
1651,118662.98
1652,101317.89
1653,104227.12
1654,143874.98
1655,132285.21
1656,131108.23
1657,144723.37
1658,142965.83
1659,119844.03
1660,143444.21
1661,411918.28
1662,371338.38
1663,377717.63
1664,458902.84
1665,337563.47
1666,327539.62
1667,366518.9
1668,357434.76
1669,324697.37
1670,357897.32
1671,260394.95
1672,392456.59
1673,293393.96
1674,256747.64
1675,205139.02
1676,200647.77
1677,216974.73
1678,453916.79
1679,376541.53
1680,318635.51
1681,289257.71
1682,325216.05
1683,200529.75
1684,186201.78
1685,182115.89
1686,168062.38
1687,193106.63
1688,191836.14
1689,201748.97
1690,198567.47
1691,190715.84
1692,278133.77
1693,193209.53
1694,179094.36
1695,182379.29
1696,262115.36
1697,187149.01
1698,330005.55
1699,306286.25
1700,262738.56
1701,279313.33
1702,248796.58
1703,241309.58
1704,270480.38
1705,259251.18
1706,405211.55
1707,226068.63
1708,203621.52
1709,256119.05
1710,219282.45
1711,277026.72
1712,237167.86
1713,271430.7
1714,222986.43
1715,209566.83
1716,186488.21
1717,185747.55
1718,144485.38
1719,231384.29
1720,242017.21
1721,181446.53
1722,135150.61
1723,162732.21
1724,198919.4
1725,234433.76
1726,191462.77
1727,142232.51
1728,195407.76
1729,158069.48
1730,170790.07
1731,128802.15
1732,132402.98
1733,110175.59
1734,116477.86
